0.3800199 12.0 0.9778927 -0.001168959 2.708327e-05
0.7919459 7.0 0.9764061 -0.002073361 2.463672e-05
9.918387 2.0 0.03382623 0.002962758 0.007911536
12.6583 -3.0 -0.04233284 0.004074502 0.008070144
15.27014 -8.0 -0.1176928 0.002074777 0.008011217
17.47264 -13.0 -0.1839359 0.002947553 0.00788856
19.7366 -18.0 -0.2454247 0.000312575 0.007927705
21.98704 -23.0 -0.3098826 -0.003640959 0.007980321
24.12965 -28.0 -0.3674318 -0.0001504646 0.008053729
26.30462 -33.0 -0.4270372 0.0005947852 0.008132341
28.21074 -38.0 -0.4773357 0.001029967 0.008124637
30.21195 -43.0 -0.5238829 0.0008617065 0.008247371
32.1331 -48.0 -0.571891 0.0001394034 0.008344198
33.81648 -53.0 -0.6140039 -0.001700142 0.008421811
35.45859 -58.0 -0.6508822 -0.002633239 0.008614594
37.30612 -63.0 -0.6909364 -0.00178759 0.009019678
39.38325 -68.0 -0.7388025 0.001238385 0.009539204
40.26364 -73.0 -0.9886237 0.000228098 -1.170792e-05
40.38203 -78.0 -0.9891359 0.000218514 -2.27111e-06
40.49794 -83.0 -0.9896176 0.0002047559 -3.209852e-06
40.61176 -88.0 -0.9900689 0.0001897369 -3.285611e-06
40.72637 -93.0 -0.9904919 0.0001775581 -2.843517e-06
40.8367 -98.0 -0.9908883 0.0001667118 -2.730482e-06
40.94529 -103.0 -0.9912609 0.0001570496 -2.698047e-06
41.05465 -108.0 -0.9916113 0.0001478952 -2.431541e-06
41.15964 -113.0 -0.9919409 0.0001399194 -2.548716e-06
41.26233 -118.0 -0.9922516 0.0001327448 -2.060856e-06
41.36453 -123.0 -0.9925446 0.0001254116 -2.360993e-06
41.46398 -128.0 -0.9928212 0.0001196437 -2.121915e-06
41.56226 -133.0 -0.9930827 0.000114078 -2.131318e-06
41.65897 -138.0 -0.9933299 0.0001087442 -1.935834e-06
41.75601 -143.0 -0.9935639 0.0001038458 -1.963501e-06
41.84992 -148.0 -0.9937858 9.93992e-05 -2.108594e-06
41.94176 -153.0 -0.9939962 9.583008e-05 -1.645903e-06
42.03184 -158.0 -0.9941958 9.142934e-05 -1.739711e-06
42.12124 -163.0 -0.9943854 8.826376e-05 -1.625671e-06
42.21008 -168.0 -0.9945655 8.479276e-05 -1.584653e-06
42.29591 -173.0 -0.9947372 8.177976e-05 -1.555518e-06
42.38016 -178.0 -0.9949006 7.881688e-05 -1.650296e-06
42.46486 -183.0 -0.995056 7.673183e-05 -1.204548e-06
42.54955 -188.0 -0.9952041 7.408825e-05 -1.376023e-06
42.6302 -193.0 -0.995346 7.145366e-05 -1.216212e-06
42.71059 -198.0 -0.995481 6.908294e-05 -1.189043e-06
42.78861 -203.0 -0.9956102 6.700414e-05 -1.26103e-06
