5e-10 0.0 0.0 1400000.0
1.5e-09 -7.53510017932e-307 -7.53510017932e-307 1400000.0
2.5e-09 -0.032743458832 -0.12059175262 1400000.0
3.5e-09 -0.0982556031253 -0.361786327048 1400000.0
4.5e-09 -0.163843290155 -0.603013766118 1400000.0
5.5e-09 -0.229556595789 -0.844295037217 1400000.0
6.5e-09 -0.295445173227 -1.0856497074 1400000.0
7.5e-09 -0.361558079013 -1.32709539645 1400000.0
8.5e-09 -0.427943630402 -1.56864724512 1400000.0
9.5e-09 -0.49464929632 -1.8103173927 1400000.0
1.05e-08 -0.561721619512 -2.05211446749 1400000.0
1.15e-08 -0.629206172095 -2.29404309475 1400000.0
1.25e-08 -0.697147547698 -2.53610342711 1400000.0
1.35e-08 -0.765589394054 -2.77829070124 1400000.0
1.45e-08 -0.834574489759 -3.02059482439 1400000.0
1.55e-08 -0.904144867921 -3.26299999364 1400000.0
1.65e-08 -0.974341988422 -3.50548435103 1400000.0
1.75e-08 -1.04520695958 -3.74801967774 1400000.0
1.85e-08 -1.11678080922 -3.99057113083 1400000.0
1.95e-08 -1.18910480446 -4.23309702606 1400000.0
2.05e-08 -1.26222081891 -4.47554867035 1400000.0
2.15e-08 -1.3361717449 -4.71787024722 1399999.99999
2.25e-08 -1.41100194821 -4.95999875853 1399999.99999
2.35e-08 -1.48675776123 -5.20186402564 1399999.99999
2.45e-08 -1.56348801045 -5.4433887529 1399999.99999
2.55e-08 -1.641244573 -5.68448865615 1399999.99999
2.65e-08 -1.72008295653 -5.9250726586 1399999.99999
2.75e-08 -1.80006289605 -6.1650431561 1399999.99999
2.85e-08 -1.88124896072 -6.4042963535 1399999.99999
2.95e-08 -1.9637111632 -6.64272267318 1399999.99999
3.05e-08 -2.04752556366 -6.88020723654 1399999.99999
3.15e-08 -2.13277486014 -7.11663041842 1399999.99999
3.25e-08 -2.21954895679 -7.3518684742 1399999.99999
3.35e-08 -2.30794550105 -7.58579423817 1399999.99999
3.45e-08 -2.39807038112 -7.81827789174 1399999.99999
3.55e-08 -2.49003817455 -8.04918779871 1399999.99998
3.65e-08 -2.58397253921 -8.27839140457 1399999.99998
3.75e-08 -2.68000653789 -8.50575619594 1399999.99998
3.85e-08 -2.77828288805 -8.73115071523 1399999.99998
3.95e-08 -2.87895412852 -8.95444562541 1399999.99998
4.05e-08 -2.98218269561 -9.17551481833 1399999.99998
4.15e-08 -3.08814090125 -9.39423656001 1399999.99998
4.25e-08 -3.1970108068 -9.61049466504 1399999.99998
4.35e-08 -3.30898398652 -9.82417969185 1399999.99998
4.45e-08 -3.42426117582 -10.0351901499 1399999.99998
4.55e-08 -3.54305179983 -10.2434337091 1399999.99998
4.65e-08 -3.66557337927 -10.4488284017 1399999.99997
4.75e-08 -3.79205081115 -10.6513038061 1399999.99997
4.85e-08 -3.92271552317 -10.8508022007 1399999.99997
4.95e-08 -4.05780450162 -11.0472796779 1399999.99997
5.05e-08 -4.19755919378 -11.2407072063 1399999.99997
5.15e-08 -4.34222428697 -11.4310716292 1399999.99997
5.25e-08 -4.49204636765 -11.6183765874 1399999.99997
5.35e-08 -4.64727246491 -11.8026433563 1399999.99997
5.45e-08 -4.80814848433 -11.9839115839 1399999.99997
5.55e-08 -4.97491753878 -12.1622399208 1399999.99996
5.65e-08 -5.14781818448 -12.337706529 1399999.99996
5.75e-08 -5.3270825713 -12.5104094613 1399999.99996
5.85e-08 -5.51293451761 -12.6804669015 1399999.99996
5.95e-08 -5.70558752089 -12.8480172549 1399999.99996
6.05e-08 -5.90524271635 -13.0132190832 1399999.99996
6.15e-08 -6.11208679661 -13.1762508748 1399999.99996
6.25e-08 -6.32628990638 -13.3373106462 1399999.99996
6.35e-08 -6.5480035267 -13.4966153674 1399999.99995
6.45e-08 -6.77735836396 -13.6544002092 1399999.99995
6.55e-08 -7.01446225942 -13.8109176084 1399999.99995
6.65e-08 -7.25939813529 -13.9664361509 1399999.99995
6.75e-08 -7.51222199385 -14.1212392708 1399999.99995
6.85e-08 -7.77296098596 -14.2756237692 1399999.99994
6.95e-08 -8.04161156562 -14.4298981531 1399999.99994
7.05e-08 -8.31813774705 -14.5843808007 1399999.99994
7.15e-08 -8.60246948031 -14.7393979569 1399999.99994
7.25e-08 -8.89450116152 -14.8952815676 1399999.99993
7.35e-08 -9.19409029283 -15.05236696 1399999.99993
7.45e-08 -9.50105630697 -15.2109903792 1399999.99993
7.55e-08 -9.81517957029 -15.3714863929 1399999.99993
7.65e-08 -10.1362005774 -15.5341851749 1399999.99992
7.75e-08 -10.4638193497 -15.6994096827 1399999.99992
7.85e-08 -10.7976950481 -15.8674727431 1399999.99992
7.95e-08 -11.1374458113 -16.0386740609 1399999.99991
8.05e-08 -11.4826488263 -16.213297169 1399999.99991
8.15e-08 -11.8328406393 -16.3916063354 1399999.99991
8.25e-08 -12.1875177135 -16.5738434466 1399999.9999
8.35e-08 -12.5461372357 -16.7602248856 1399999.9999
8.45e-08 -12.9081181773 -16.9509384232 1399999.99989
8.55e-08 -13.2728426077 -17.1461401436 1399999.99989
8.65e-08 -13.639657262 -17.345951421 1399999.99988
8.75e-08 -14.0078753594 -17.5504559701 1399999.99988
8.85e-08 -14.3767786682 -17.7596969877 1399999.99987
8.95e-08 -14.745619813 -17.9736744048 1399999.99987
9.05e-08 -15.113624815 -18.1923422689 1399999.99986
9.15e-08 -15.4799958584 -18.4156062736 1399999.99986
9.25e-08 -15.8439142712 -18.6433214536 1399999.99985
9.35e-08 -16.2045437086 -18.8752900601 1399999.99985
