# copies 	 demag oommf 	 demag nmag
1 	 333333.333333 	 333680.568133
3 	 63762.523202 	 64218.929974
5 	 24490.971053 	 25004.560874
7 	 12733.176818 	 13229.317578
11 	 5218.248405 	 5768.937160
15 	 2816.910057 	 3372.398116
17 	 2195.244567 	 2751.976561
19 	 1758.620196 	 2316.226764
21 	 1440.317352 	 1998.560130
41 	 378.489911 	 939.037056
61 	 171.042901 	 736.351168
81 	 97.017599 	 680.420207
