# copies 	 demag oommf 	 demag nmag
1 	 333333.333333 	 334551.521722
3 	 468118.738399 	 469056.079334
5 	 487754.514474 	 488672.674151
7 	 493633.411591 	 494541.739309
11 	 497390.875797 	 498292.180219
15 	 498591.544970 	 499490.508650
17 	 498902.377711 	 499800.728938
19 	 499120.689899 	 500018.609508
21 	 499279.841325 	 500177.445501
41 	 499810.755125 	 500707.311922
61 	 499914.478892 	 500811.299887
81 	 499951.492038 	 500850.846080
